English,Portuguese
the,a
be,ser
and,e
a,uma
of,do
to,para
in,em
i,eu
you,vocês
it,isto
have,tenho
to,para
that,que
for,para
do,Faz
he,ele
with,com
on,em
this,isto
not,não
we,nós
that,que
not,não
but,mas
they,elas
say,dizer
at,no
what,que
his,seu
from,a partir de
go,ir
or,ou
by,de
get,obter
she,ela
my,minha
can,posso
as,Como
know,conhecer
if,E se
me,mim
your,sua
all,tudo
who,quem
about,cerca de
their,seus
will,vai
so,assim
would,gostaria
make,faço
just,somente
up,pra cima
think,pensar
time,Tempo
there,lá
see,Vejo
her,sua
as,Como
out,Fora
one,1
come,vir
people,pessoas
take,toma
year,ano
him,ele
them,eles
some,algum
want,quer
how,Como as
when,quando
which,qual
now,agora
like,Como
other,outro
could,poderia
our,nosso
into,para dentro
here,aqui
then,então
than,que
look,Veja
way,caminho
more,mais
these,esses
no,não
thing,coisa
well,Nós vamos
because,Porque
also,tb
two,dois
use,usar
tell,dizer
good,Boa
first,primeiro
man,homem
day,dia
find,encontrar
give,dar
more,mais
new,novo
one,1
us,nós
any,algum
those,Essa
very,muito
her,sua
need,precisar
back,voltar
there,lá
should,devemos
even,até
only,só
many,vários
really,mesmo
work,trabalhar
life,vida
why,Por quê
right,certo
down,baixa
on,em
try,experimentar
let,deixar
something,algo
too,também
call,ligar
woman,mulher
may,poderia
still,ainda
through,Através dos
mean,significar
after,depois
never,nunca
no,não
world,mundo
in,em
feel,sentir
yeah,sim
great,ótimo
last,durar
child,filho
oh,Oh
over,sobre
ask,perguntar
when,quando
as,Como
school,escola
state,Estado
much,Muito de
talk,falar
out,Fora
keep,guarda
leave,deixar
put,por
like,Como
help,ajuda
big,grande
where,Onde
same,mesmo
all,tudo
own,ter
while,enquanto
start,começar
three,três
high,Alto
every,cada
another,outro
become,tornar-se
most,a maioria
between,entre
happen,acontecer
family,família
over,sobre
president,Presidente
old,velho
yes,sim
house,casa
show,mostrar
again,novamente
student,aluna
so,assim
seem,parecer
might,poderia
part,papel
hear,ouvir
its,Está
place,"Lugar, colocar"
problem,problema
where,Onde
believe,acreditam
country,país
always,sempre
week,semana
point,apontar
hand,mão
off,desligado
play,Toque
turn,virar
few,alguns
group,grupo
such,tal
against,contra
run,corre
guy,cara
about,cerca de
case,caso
question,pergunta
work,trabalhar
night,noite
live,viver
game,jogos
number,número
write,Escreva
bring,trazer
without,sem
money,dinheiro
lot,muito
most,a maioria
book,livro
system,sistema
government,governo
next,Próximo
city,cidade
company,companhia
story,história
today,hoje
job,emprego
move,mover
must,deve
bad,mau
friend,amigo
during,no decorrer
begin,começar
love,amor
each,cada
hold,espera
different,diferente
american,americano
little,pouco
before,antes da
ever,sempre
word,palavra
fact,facto
right,certo
read,ler
anything,algo
nothing,nada
sure,certo
small,pequeno
month,mês
program,programa
maybe,pode ser
right,certo
under,debaixo
business,o negócio
home,casa
kind,Gentil
stop,Pare
pay,pagar
study,estude
since,desde
issue,questão
name,nome
idea,idéia
room,quarto
percent,por cento
far,distante
away,longe
law,lei
actually,na realidade
large,ampla
though,Apesar
provide,fornecer
lose,perder
power,potência
kid,miúdo
war,guerra
understand,Compreendo
head,cabeça
mother,mãe
real,real
best,melhor
team,equipe
eye,olho
long,grandes
long,grandes
side,lado
water,agua
young,novo
wait,esperar
okay,OK
both,Ambas
yet,ainda
after,depois
meet,Conheçer
service,serviço
area,área
important,importante
person,pessoa
hey,ei
thank,agradecer
much,Muito de
someone,alguém
end,fim
change,mudança
however,no entanto
only,só
around,por aí
